FX Type,Transaction Type,FX Buy/Sell,Client Fund,Trade Date,Contractual Settlement Date,Trade ID,Exchange Rate,Amount Bought,Currency Bought,Amount Sold,Currency Sold,Days Past Due,Base Current Value,Unrealized Gain/Loss,Base Currency Code,Accounting Period End Date
F,KSELL,S,HRVQ,01/21/2026,02/19/2026,26AMKBB415J,0.730007,35838504.000000,CAD,26000000.000000,USD,0.000000,35616100.000000,222404.000000,CAD,02/18/2026
F,KSELL,S,HRTS,02/11/2026,03/26/2026,26BHKBB5S8N,0.730007,32628090.200000,CAD,24111000.000000,USD,0.000000,32979614.260000,-351524.060000,CAD,02/18/2026
F,KSELL,S,HRTR,01/29/2026,03/05/2026,26ASKBB4D7C,0.730007,22029129.300000,CAD,16260000.000000,USD,0.000000,22260635.310000,-231506.010000,CAD,02/18/2026
F,KSELL,S,HRTR,01/29/2026,03/05/2026,26ASKBB4BK0,0.730007,21993113.400000,CAD,16260000.000000,USD,0.000000,22260635.310000,-267521.910000,CAD,02/18/2026
F,KSELL,S,HRTR,02/09/2026,03/05/2026,26BFKBCD01B,0.730007,6477033.840000,CAD,4780000.000000,USD,0.000000,6544024.400000,-66990.560000,CAD,02/18/2026
F,KSELL,S,HRTR,02/11/2026,03/26/2026,26BHKBB5TBZ,0.730007,30818437.660000,CAD,22787000.000000,USD,0.000000,31168614.750000,-350177.090000,CAD,02/18/2026
F,KSELL,S,HRTR,02/11/2026,03/26/2026,26BHKBB5XW4,0.730007,30836393.820000,CAD,22787000.000000,USD,0.000000,31168614.750000,-332220.930000,CAD,02/18/2026
F,KBUY,B,HRTG,01/27/2026,02/26/2026,26AQKBB6BFJ,0.925211,520000.000000,SGD,560678.940000,CAD,0.000000,562119.700000,1440.760000,CAD,02/18/2026
F,KBUY,B,HRTG,01/22/2026,02/26/2026,26ANKBB82H1,0.925211,810000.000000,SGD,872617.270000,CAD,0.000000,875609.530000,2992.260000,CAD,02/18/2026
F,KBUY,B,HRTG,01/22/2026,02/26/2026,26ANKBB8772,1.036573,220000.000000,AUD,207193.800000,CAD,0.000000,212181.130000,4987.330000,CAD,02/18/2026
F,KBUY,B,HRTG,01/22/2026,02/26/2026,26ANKBB87ZQ,0.564368,220000.000000,CHF,384708.870000,CAD,0.000000,389970.530000,5261.660000,CAD,02/18/2026
F,KBUY,B,HRTG,01/22/2026,02/26/2026,26ANKBB8143,0.619490,270000.000000,EUR,437242.860000,CAD,0.000000,435857.230000,-1385.630000,CAD,02/18/2026
F,KBUY,B,HRTG,01/22/2026,02/26/2026,26ANKBB818B,0.540766,140000.000000,GBP,260113.980000,CAD,0.000000,258826.340000,-1287.640000,CAD,02/18/2026
F,KBUY,B,HRTG,01/29/2026,02/26/2026,26ASKBB70DJ,1.036573,170000.000000,AUD,161214.400000,CAD,0.000000,163958.150000,2743.750000,CAD,02/18/2026
F,KBUY,B,HRTG,01/29/2026,02/26/2026,26ASKBB70CX,0.564368,100000.000000,CHF,176553.670000,CAD,0.000000,177259.330000,705.660000,CAD,02/18/2026
F,KBUY,B,HRTG,01/29/2026,02/26/2026,26ASKBB70D3,0.619490,140000.000000,EUR,226184.000000,CAD,0.000000,226000.040000,-183.960000,CAD,02/18/2026
F,KSELL,S,HRTG,01/08/2026,02/26/2026,26AEKBB7PV0,1.036573,1289294.250000,CAD,1391000.000000,AUD,0.000000,1341563.450000,-52269.200000,CAD,02/18/2026
F,KSELL,S,HRTG,01/08/2026,02/26/2026,26AEKBB7SFP,0.619490,2053524.200000,CAD,1271000.000000,EUR,0.000000,2051757.550000,1766.650000,CAD,02/18/2026
F,KSELL,S,HRTG,01/08/2026,02/26/2026,26AEKBB7SF4,0.564368,2021010.160000,CAD,1162000.000000,CHF,0.000000,2059753.450000,-38743.290000,CAD,02/18/2026
F,KSELL,S,HRTG,01/08/2026,02/26/2026,26AEKBB7SGL,0.540766,1344078.690000,CAD,723000.000000,GBP,0.000000,1336653.190000,7425.500000,CAD,02/18/2026
F,KSELL,S,HRTG,01/08/2026,02/26/2026,26AEKBB7PSS,0.925211,4688321.630000,CAD,4342000.000000,SGD,0.000000,4693699.500000,-5377.870000,CAD,02/18/2026
F,KSELL,S,HRTG,02/11/2026,03/26/2026,26BHKBB5X5B,0.730007,22619490.180000,CAD,16715000.000000,USD,0.000000,22863184.950000,-243694.770000,CAD,02/18/2026
S,KBUY,B,HRTM,02/17/2026,02/19/2026,26BKKBCQF27,0.619490,4344000.000000,EUR,7018427.040000,CAD,0.000000,7012222.840000,-6204.200000,CAD,02/18/2026
S,KBUY,B,HRTM,02/17/2026,02/19/2026,26BKKBCQF2P,0.540766,148000.000000,GBP,273622.400000,CAD,0.000000,273685.960000,63.560000,CAD,02/18/2026
F,KSELL,S,HRTM,02/17/2026,02/26/2026,26BKKBCQF5P,0.619490,12973974.640000,CAD,8030000.000000,EUR,0.000000,12962716.830000,11257.810000,CAD,02/18/2026
F,KSELL,S,HRTM,02/17/2026,02/26/2026,26BKKBCQKC4,0.540766,8446324.270000,CAD,4570000.000000,GBP,0.000000,8448831.350000,-2507.080000,CAD,02/18/2026
F,KSELL,S,HRTM,01/08/2026,02/26/2026,26AEKBB7PKH,0.619490,45261248.900000,CAD,28003000.000000,EUR,0.000000,45204851.730000,56397.170000,CAD,02/18/2026
F,KSELL,S,HRTM,01/08/2026,02/26/2026,26AEKBB7PL9,0.564368,12929595.100000,CAD,7434000.000000,CHF,0.000000,13177458.830000,-247863.730000,CAD,02/18/2026
F,KSELL,S,HRTM,01/08/2026,02/26/2026,26AEKBB7QRQ,6.600686,27592688.380000,CAD,183498000.000000,SEK,0.000000,27801819.190000,-209130.810000,CAD,02/18/2026
F,KSELL,S,HRTM,01/08/2026,02/26/2026,26AEKBB7PLX,0.619490,45243775.030000,CAD,28003000.000000,EUR,0.000000,45204851.730000,38923.300000,CAD,02/18/2026
F,KSELL,S,HRTM,01/08/2026,02/26/2026,26AEKBB7PLT,6.958755,13083653.690000,CAD,95483000.000000,NOK,0.000000,13717266.750000,-633613.060000,CAD,02/18/2026
F,KSELL,S,HRTM,01/08/2026,02/26/2026,26AEKBB7PKJ,0.540766,69299061.310000,CAD,37277000.000000,GBP,0.000000,68916211.460000,382849.850000,CAD,02/18/2026
F,KSELL,S,HRTM,01/29/2026,03/05/2026,26ASKBB4BLL,0.730007,22646414.370000,CAD,16743000.000000,USD,0.000000,22921882.960000,-275468.590000,CAD,02/18/2026
F,KSELL,S,HRTM,01/29/2026,03/05/2026,26ASKBB4D47,0.730007,22683500.120000,CAD,16743000.000000,USD,0.000000,22921882.960000,-238382.840000,CAD,02/18/2026
F,KSELL,S,HRTM,02/11/2026,03/26/2026,26BHKBB5S45,0.730007,35921257.920000,CAD,26560000.000000,USD,0.000000,36329416.230000,-408158.310000,CAD,02/18/2026
F,KSELL,S,HRTM,02/11/2026,03/26/2026,26BHKBB5XQP,0.730007,35942187.200000,CAD,26560000.000000,USD,0.000000,36329416.230000,-387229.030000,CAD,02/18/2026
F,KSELL,S,HRAZ,02/11/2026,03/26/2026,26BHKBB5THP,0.730007,78645186.420000,CAD,58116000.000000,USD,0.000000,79492483.200000,-847296.780000,CAD,02/18/2026
F,KSELL,S,HRAZ,01/29/2026,03/05/2026,26ASKBB4B58,0.730007,123548275.780000,CAD,91342000.000000,USD,0.000000,125051103.970000,-1502828.190000,CAD,02/18/2026
F,KSELL,S,HRAZ,01/29/2026,03/05/2026,26ASKBB4D95,0.730007,123750598.310000,CAD,91342000.000000,USD,0.000000,125051103.970000,-1300505.660000,CAD,02/18/2026
F,KSELL,S,HRAZ,02/11/2026,03/26/2026,26BHKBB5XX5,0.730007,78599391.010000,CAD,58116000.000000,USD,0.000000,79492483.200000,-893092.190000,CAD,02/18/2026
F,KSELL,S,HRVM,02/04/2026,03/20/2026,26BCKBB6GV5,0.730007,139907072.540000,CAD,102497000.000000,USD,0.000000,140233969.260000,-326896.720000,CAD,02/18/2026
F,KSELL,S,HRVM,01/21/2026,02/19/2026,26AMKBB410J,0.730007,93759040.080000,CAD,68020000.000000,USD,0.000000,93177197.010000,581843.070000,CAD,02/18/2026
F,KSELL,S,HRVM,02/02/2026,02/19/2026,26BAKBCCBT3,0.730007,20595882.670000,CAD,15070000.000000,USD,0.000000,20643639.500000,-47756.830000,CAD,02/18/2026
F,KSELL,S,HRVG,01/29/2026,03/05/2026,26ASKBB4CXH,0.730007,14561983.940000,CAD,10766000.000000,USD,0.000000,14739114.380000,-177130.440000,CAD,02/18/2026
F,KSELL,S,HRVG,01/29/2026,03/05/2026,26ASKBB4D20,0.730007,14585830.630000,CAD,10766000.000000,USD,0.000000,14739114.380000,-153283.750000,CAD,02/18/2026
F,KSELL,S,HRVG,02/11/2026,03/26/2026,26BHKBB5XMZ,0.730007,11139912.840000,CAD,8232000.000000,USD,0.000000,11259930.510000,-120017.670000,CAD,02/18/2026
F,KSELL,S,HRVG,02/11/2026,03/26/2026,26BHKBB5S46,0.730007,11133426.020000,CAD,8232000.000000,USD,0.000000,11259930.510000,-126504.490000,CAD,02/18/2026
F,KSELL,S,HRTB,02/04/2026,03/20/2026,26BCKBB6GW7,0.730007,8667667.450000,CAD,6350000.000000,USD,0.000000,8687919.690000,-20252.240000,CAD,02/18/2026
F,KSELL,S,HRTB,02/04/2026,03/20/2026,26BCKBB6H03,0.730007,8670766.250000,CAD,6350000.000000,USD,0.000000,8687919.690000,-17153.440000,CAD,02/18/2026
F,KSELL,S,HRTB,01/21/2026,02/19/2026,26AMKBB5BFL,0.730007,12470862.030000,CAD,9042000.000000,USD,0.000000,12386183.700000,84678.330000,CAD,02/18/2026
F,KSELL,S,HRTB,01/21/2026,02/19/2026,26AMKBB5BD0,0.730007,12463528.970000,CAD,9042000.000000,USD,0.000000,12386183.700000,77345.270000,CAD,02/18/2026
F,KSELL,S,HRTE,02/11/2026,03/26/2026,26BHKBB5XQQ,0.730007,84700324.540000,CAD,62627000.000000,USD,0.000000,85662739.100000,-962414.560000,CAD,02/18/2026
F,KSELL,S,HRTE,02/11/2026,03/26/2026,26BHKBB5XXT,0.730007,84751553.430000,CAD,62627000.000000,USD,0.000000,85662739.100000,-911185.670000,CAD,02/18/2026
F,KSELL,S,HRTE,02/11/2026,03/26/2026,26BHKBB5XW5,0.730007,84749674.620000,CAD,62627000.000000,USD,0.000000,85662739.100000,-913064.480000,CAD,02/18/2026
F,KSELL,S,HRTE,02/04/2026,03/20/2026,26BCKBB6H5M,0.730007,47549322.150000,CAD,34835000.000000,USD,0.000000,47660422.440000,-111100.290000,CAD,02/18/2026
F,KSELL,S,HRTE,02/04/2026,03/20/2026,26BCKBB6GVW,0.730007,47566321.630000,CAD,34835000.000000,USD,0.000000,47660422.440000,-94100.810000,CAD,02/18/2026
F,KSELL,S,HRTE,01/21/2026,02/19/2026,26AMKBB49L1,0.730007,105152730.820000,CAD,76241000.000000,USD,0.000000,104438733.860000,713996.960000,CAD,02/18/2026
F,KSELL,S,HRTE,01/21/2026,02/19/2026,26AMKBB4196,0.730007,105090899.360000,CAD,76241000.000000,USD,0.000000,104438733.860000,652165.500000,CAD,02/18/2026
F,KSELL,S,HRTE,01/29/2026,03/05/2026,26ASKBB4D24,0.730007,59482713.530000,CAD,43905000.000000,USD,0.000000,60107822.470000,-625108.940000,CAD,02/18/2026
F,KSELL,S,HRTE,01/29/2026,03/05/2026,26ASKBB4DM6,0.730007,59385463.950000,CAD,43905000.000000,USD,0.000000,60107822.470000,-722358.520000,CAD,02/18/2026
F,KSELL,S,HRTU,01/21/2026,02/19/2026,26AMKBB5BK0,0.730007,189886183.560000,CAD,137677000.000000,USD,0.000000,188596838.470000,1289345.090000,CAD,02/18/2026
F,KSELL,S,HRTU,01/29/2026,03/05/2026,26ASKBB4B76,0.730007,158948261.260000,CAD,117514000.000000,USD,0.000000,160881691.140000,-1933429.880000,CAD,02/18/2026
F,KSELL,S,HRTU,01/29/2026,03/05/2026,26ASKBB4GPZ,0.730007,159208554.770000,CAD,117514000.000000,USD,0.000000,160881691.140000,-1673136.370000,CAD,02/18/2026
F,KSELL,S,HRTU,01/29/2026,03/05/2026,26ASKBB4BKJ,0.730007,158988803.590000,CAD,117514000.000000,USD,0.000000,160881691.140000,-1892887.550000,CAD,02/18/2026
F,KSELL,S,HRTU,02/04/2026,03/20/2026,26BCKBB6JDB,0.730007,176687003.100000,CAD,129396000.000000,USD,0.000000,177036544.350000,-349541.250000,CAD,02/18/2026
F,KSELL,S,HRTU,02/04/2026,03/20/2026,26BCKBB6JGP,0.730007,176623857.850000,CAD,129396000.000000,USD,0.000000,177036544.350000,-412686.500000,CAD,02/18/2026
F,KSELL,S,HRTU,01/21/2026,02/19/2026,26AMKBB417P,0.730007,189774527.510000,CAD,137677000.000000,USD,0.000000,188596838.470000,1177689.040000,CAD,02/18/2026
F,KSELL,S,HRTU,02/11/2026,03/26/2026,26BHKBB5THK,0.730007,128720664.400000,CAD,95120000.000000,USD,0.000000,130107457.530000,-1386793.130000,CAD,02/18/2026
F,KSELL,S,HRTU,02/11/2026,03/26/2026,26BHKBB5TJN,0.730007,128645709.840000,CAD,95120000.000000,USD,0.000000,130107457.530000,-1461747.690000,CAD,02/18/2026
F,KSELL,S,HRTU,02/11/2026,03/26/2026,26BHKBB5TJQ,0.730007,128723518.000000,CAD,95120000.000000,USD,0.000000,130107457.530000,-1383939.530000,CAD,02/18/2026
F,KSELL,S,HRTA,01/21/2026,02/19/2026,26AMKBB6MZ8,0.730007,62137073.920000,CAD,45079000.000000,USD,0.000000,61751468.160000,385605.760000,CAD,02/18/2026
F,KSELL,S,HRTA,01/21/2026,02/19/2026,26AMKBB5BKS,0.730007,62173632.990000,CAD,45079000.000000,USD,0.000000,61751468.160000,422164.830000,CAD,02/18/2026
F,KSELL,S,HRTA,01/29/2026,03/05/2026,26ASKBB4B9D,0.730007,66539312.460000,CAD,49194000.000000,USD,0.000000,67348689.640000,-809377.180000,CAD,02/18/2026
F,KSELL,S,HRTA,01/29/2026,03/05/2026,26ASKBB4DSF,0.730007,66648277.170000,CAD,49194000.000000,USD,0.000000,67348689.640000,-700412.470000,CAD,02/18/2026
F,KSELL,S,HRTA,02/04/2026,03/20/2026,26BCKBB6JJX,0.730007,72564073.910000,CAD,53161000.000000,USD,0.000000,72733621.860000,-169547.950000,CAD,02/18/2026
F,KSELL,S,HRTA,02/04/2026,03/20/2026,26BCKBB6GWL,0.730007,72590016.480000,CAD,53161000.000000,USD,0.000000,72733621.860000,-143605.380000,CAD,02/18/2026
F,KSELL,S,HRTA,02/11/2026,03/26/2026,26BHKBB5TNZ,0.730007,39780871.900000,CAD,29396000.000000,USD,0.000000,40208566.250000,-427694.350000,CAD,02/18/2026
F,KSELL,S,HRTA,02/11/2026,03/26/2026,26BHKBB5TMB,0.730007,39756825.970000,CAD,29396000.000000,USD,0.000000,40208566.250000,-451740.280000,CAD,02/18/2026
F,KSELL,S,HRTA,02/11/2026,03/26/2026,26BHKBB5TNH,0.730007,39779990.020000,CAD,29396000.000000,USD,0.000000,40208566.250000,-428576.230000,CAD,02/18/2026
,,,,,,,,,,,,,,,CAD,
,,,,,,,,,,,,,,,CAD,
,,,,,,,,,,,,,,,CAD,
,,,,,,,,,,,,,,,CAD,
,,,,,,,,,,,,,,,CAD,
,,,,,,,,,,,,,,,CAD,
,,,,,,,,,,,,,,,CAD,
,,,,,,,,,,,,,,,CAD,
,,,,,,,,,,,,,,,CAD,
